account_id,name,open_date,dormancy_flag,age_band,phone,address,kyc_date,known_suspicious,role
ACC-G0039,Mekhala Khatri,2020-01-03,True,26-40,+91-9854678544,"17, Jani Path, Satara 093204",2020-01-06,False,background
ACC-G0040,Chakrika Dua,2020-09-27,False,60+,+91-9353693785,"77/252, Suresh Street, Hosur 801006",2020-10-07,False,background
ACC-G0041,Vihaan Bir,2025-06-13,False,18-25,+91-9203875099,"H.No. 088, Arora Marg, Bettiah-840862",2025-06-24,False,background
ACC-G0042,Gopal Viswanathan,2025-04-26,False,41-60,+91-9233984546,"79, Kara Ganj, Jodhpur 166687",2025-05-11,False,background
ACC-G0043,Aditya Garg,2021-07-23,False,60+,+91-9176591803,"H.No. 01, Bali Road, Satna-392614",2021-08-07,False,background
ACC-G0044,Wridesh Ramachandran,2025-08-22,False,26-40,+91-9856218501,"H.No. 599, Ranganathan, Ludhiana-773586",2025-09-28,False,background
ACC-G0045,Quincy Rai,2020-03-22,False,26-40,+91-9194311426,"H.No. 51, Ahluwalia Zila, Raiganj-412126",2020-05-03,False,background
ACC-G0046,Yauvani Reddy,2022-07-25,False,26-40,+91-9101581995,"H.No. 66, Kibe Zila, Nadiad-244472",2022-09-05,False,background
ACC-G0047,Oliver Saran,2022-09-21,False,60+,+91-9464715437,"H.No. 240, Natarajan Marg, Ozhukarai-569245",2022-09-25,False,background
ACC-G0048,Varenya Murthy,2025-12-24,False,60+,+91-9265479356,"H.No. 19, Gole Ganj, Surendranagar Dudhrej 741672",2025-12-30,False,background
ACC-G0049,Wyatt Krishnan,2025-04-06,False,26-40,+91-9266179796,"H.No. 89, Chopra Zila, Raichur-909656",2025-04-14,False,background
ACC-G0050,Advaith Chaudhari,2022-03-04,False,60+,+91-9438889937,"98, Pai Street, Karawal Nagar 461125",2022-03-27,False,background
ACC-G0051,Hemal Shah,2022-11-21,False,41-60,+91-9387571775,"H.No. 105, Gala Zila, Hazaribagh 825867",2023-01-05,False,background
ACC-G0052,Nidhi Gour,2022-09-10,False,60+,+91-9266093796,"33/419, Yadav Zila, Ambarnath-371478",2022-10-21,False,background
ACC-G0053,Lipika Ramanathan,2020-02-26,True,41-60,+91-9915579249,"H.No. 13, Dada Road, Dindigul 866929",2020-03-16,False,background
ACC-G0054,Pallavi Grewal,2024-12-03,False,18-25,+91-9782827422,"05/07, Hayer Street, Kishanganj 676772",2024-12-10,False,background
ACC-G0055,Azaan Kannan,2024-11-19,False,18-25,+91-9404384279,"14/85, Barman Circle, Bongaigaon-613407",2024-12-07,False,background
ACC-G0056,Ijaya Chahal,2023-09-22,False,18-25,+91-9713395962,"095, Mand Circle, North Dumdum-494812",2023-11-01,False,background
ACC-G0057,Daniel Malhotra,2023-02-15,False,26-40,+91-9223253672,"71, Rau Zila, Arrah 759017",2023-02-18,False,background
ACC-G0058,Dev Warrior,2025-01-18,False,41-60,+91-9636374545,"H.No. 00, Sharaf Zila, Amravati-770632",2025-01-20,False,background
ACC-G0059,Nathan Mahal,2026-01-17,False,18-25,+91-9154152064,"11/037, Deo Zila, Kadapa-005162",2026-02-02,False,background
ACC-G0060,Ekavir Karnik,2024-04-10,False,26-40,+91-9611155426,"H.No. 890, Gala, Etawah-269731",2024-05-07,False,background
ACC-G0061,Logan Dasgupta,2019-10-18,True,18-25,+91-9965652341,"04/389, Gulati Circle, Sagar-376137",2019-12-01,False,background
ACC-G0062,Advik Patel,2024-05-31,False,41-60,+91-9526965827,"10/43, Bhasin Nagar, Guna 866618",2024-07-07,False,background
ACC-G0063,Arunima Chacko,2019-11-21,False,18-25,+91-9418328569,"63/031, D’Alia Marg, Pudukkottai 421020",2019-12-10,False,background
ACC-G0064,Watika Palan,2021-12-30,False,41-60,+91-9884252410,"H.No. 81, Bose Road, Sirsa 079252",2022-01-01,False,background
ACC-G0065,Harshil D’Alia,2022-01-27,False,26-40,+91-9380003075,"086, Nagy Ganj, Erode-419518",2022-02-02,False,background
ACC-G0066,Praneel Kapoor,2022-02-13,False,60+,+91-9806174451,"H.No. 34, Modi, Madhyamgram-973832",2022-03-11,False,background
ACC-G0067,Nimrat Bajwa,2024-05-08,False,26-40,+91-9385050641,"70, Mammen Street, Varanasi-865719",2024-05-18,False,background
ACC-G0068,Yashasvi Deol,2024-02-06,False,18-25,+91-9619906234,"55, Magar Chowk, Aurangabad 291212",2024-02-27,False,background
ACC-G0069,Unnati Murthy,2021-06-20,False,60+,+91-9618537474,"490, Narang Ganj, Mysore 568044",2021-07-05,False,background
ACC-G0070,Azaan Ravel,2023-02-04,False,41-60,+91-9788317121,"236, Chad Path, Aurangabad 137215",2023-02-28,False,background
ACC-G0071,Brijesh Shenoy,2025-08-26,False,26-40,+91-9029667066,"244, Dixit Chowk, Srikakulam-476870",2025-09-24,False,background
ACC-G0072,Ati Rajagopal,2022-03-01,False,41-60,+91-9263838065,"H.No. 98, Rama Path, Bokaro-593040",2022-03-15,False,background
ACC-G0073,Ishita Kaul,2023-08-02,True,18-25,+91-9213348039,"239, Parmer Path, Nagercoil-937842",2023-08-23,False,background
ACC-G0074,Baljiwan Chana,2022-12-17,False,60+,+91-9039308705,"H.No. 25, Bains Nagar, Dharmavaram-185156",2023-01-03,False,background
ACC-G0075,Gayathri Mittal,2022-02-23,False,26-40,+91-9522675289,"92/644, Goel Street, Chapra 902959",2022-03-29,False,background
ACC-G0076,Hemang Taneja,2022-05-16,False,18-25,+91-9251355215,"H.No. 33, Palla Zila, Moradabad-067626",2022-06-01,False,background
ACC-G0077,Kritika Panchal,2024-01-31,False,60+,+91-9861793271,"H.No. 541, Oommen Zila, Gandhinagar 181599",2024-02-02,False,background
ACC-G0078,Azaan Sankar,2024-11-13,False,26-40,+91-9296201533,"44/310, Swaminathan Marg, Meerut-061497",2024-12-03,False,background
ACC-G0079,Gunbir Bal,2021-03-11,False,26-40,+91-9324171467,"H.No. 862, Raj Path, Gaya-047743",2021-04-04,False,background
ACC-G0080,David Dora,2023-12-15,False,41-60,+91-9115869380,"79/37, Brar Road, Visakhapatnam-172233",2023-12-15,False,background
ACC-G0081,Brijesh Sampath,2020-04-03,False,26-40,+91-9163294511,"54/87, Virk Nagar, Gorakhpur-229991",2020-05-15,False,background
ACC-G0082,Harrison Mangal,2023-11-16,False,18-25,+91-9856467997,"H.No. 62, Ratti, Tenali 307450",2023-12-28,False,background
ACC-G0083,Chavvi Mukhopadhyay,2022-05-20,False,41-60,+91-9471324754,"736, Varty Chowk, Pimpri-Chinchwad-148628",2022-05-27,False,background
ACC-G0084,Oscar Hans,2022-09-19,False,41-60,+91-9303070534,"61/03, Suresh Path, Belgaum 985524",2022-10-09,False,background
ACC-G0085,Bhavani Bala,2021-07-28,False,26-40,+91-9602933334,"07/229, Kapur Nagar, Narasaraopet-466574",2021-08-09,False,background
ACC-G0086,Unnati Mittal,2021-05-15,False,26-40,+91-9896910858,"17/154, Malhotra Path, Bihar Sharif 283096",2021-05-26,False,background
ACC-G0087,Logan Bal,2022-09-17,False,41-60,+91-9744666099,"38/758, Garde Road, Durg-724825",2022-10-06,False,background
ACC-G0088,Tristan Pant,2022-11-13,False,41-60,+91-9346554947,"H.No. 999, Sodhi Zila, Orai 684602",2022-12-21,False,background
ACC-G0089,Sai Oommen,2022-06-22,False,26-40,+91-9697252175,"00/743, Dutt Street, Hubli–Dharwad-966667",2022-07-05,False,background
ACC-G0090,Aayush Barad,2020-05-09,False,60+,+91-9835058300,"54/216, Mohan Circle, Amritsar-447898",2020-05-19,False,background
ACC-G0091,Radha Desai,2025-02-18,False,41-60,+91-9575326033,"09/821, Barad Path, Rohtak-901001",2025-03-29,False,background
ACC-G0092,Sachi Rai,2022-04-30,False,60+,+91-9184723046,"92/61, Dalal Circle, Raipur 739348",2022-05-15,False,background
ACC-G0093,Ishita Rout,2022-08-09,False,18-25,+91-9420873753,"11/972, Vaidya Zila, Salem 374470",2022-08-10,False,background
ACC-G0094,Owen Baral,2025-07-26,False,26-40,+91-9455611002,"H.No. 79, Chander Road, Tiruvottiyur-166746",2025-07-30,False,background
ACC-G0095,Oviya Ganesan,2020-12-23,False,41-60,+91-9120216979,"65/90, Subramanian Street, Gorakhpur-701450",2021-01-04,False,background
ACC-G0096,Hamsini Venkataraman,2021-10-12,False,26-40,+91-9891637562,"28/772, Swamy Zila, New Delhi 408386",2021-11-22,False,background
ACC-G0097,Wahab Brar,2026-01-09,False,60+,+91-9779717751,"H.No. 660, Acharya Circle, Mahbubnagar-883755",2026-01-15,False,background
ACC-G0098,Udant Sha,2021-04-26,False,41-60,+91-9589975711,"H.No. 54, Vig Circle, Aligarh-272614",2021-06-09,False,background
ACC-G0099,Raghav Dara,2020-04-11,False,26-40,+91-9637351609,"98, Tara Street, Bettiah 869782",2020-04-18,False,background
ACC-G0100,Kabir Chawla,2020-12-19,False,26-40,+91-9699586693,"H.No. 47, Devi Street, Madanapalle 858333",2021-01-21,False,background
ACC-G0101,Hemani Deo,2019-10-26,False,60+,+91-9288515879,"08, Bakshi Zila, Ulhasnagar-034244",2019-11-23,False,background
ACC-G0102,David Merchant,2020-06-04,False,60+,+91-9380571983,"40/66, Munshi Marg, Ahmedabad-397359",2020-07-02,False,background
ACC-G0103,Rishi Menon,2024-04-20,False,26-40,+91-9721228160,"42/29, Ahluwalia Road, Kirari Suleman Nagar-025909",2024-05-06,False,background
ACC-G0104,Vritti Parmar,2023-04-25,False,26-40,+91-9158328182,"H.No. 533, Narula Path, Durg-987801",2023-05-28,False,background
ACC-G0105,Sanaya Khosla,2020-08-26,False,26-40,+91-9993056164,"58/87, Bassi Chowk, Nellore 811288",2020-08-30,False,background
ACC-G0106,Dominic Kade,2022-11-18,False,26-40,+91-9361386120,"H.No. 110, Krishnamurthy Street, Ramgarh-466766",2022-12-22,False,background
ACC-G0107,Anay Ramachandran,2025-03-07,False,26-40,+91-9180919015,"49/147, Rana Marg, Bhalswa Jahangir Pur 832684",2025-04-20,False,background
ACC-G0108,Chanchal Prakash,2024-05-16,False,18-25,+91-9088210099,"H.No. 35, Sachar Ganj, Nanded-394312",2024-06-11,False,background
ACC-G0109,Triya Bora,2022-05-17,False,26-40,+91-9414139755,"H.No. 491, Nadkarni Ganj, Hospet-949299",2022-05-30,False,background
ACC-G0110,Diya Sangha,2021-05-17,False,41-60,+91-9205336452,"75, Sur Road, Akola 428341",2021-06-30,False,background
ACC-G0111,Anirudh Tripathi,2025-11-12,False,41-60,+91-9099693084,"H.No. 63, Mannan, Madhyamgram-658039",2025-12-06,False,background
ACC-G0112,Yoshita Dey,2020-09-26,True,26-40,+91-9722992750,"145, Basak Ganj, Kadapa-677005",2020-10-20,False,background
ACC-G0113,Anusha Lall,2021-05-21,False,41-60,+91-9989266591,"865, Sur Path, Mahbubnagar 827231",2021-06-28,False,background
ACC-G0114,Siddharth Doctor,2023-08-12,False,26-40,+91-9225913651,"39, Roy Street, Latur-299228",2023-09-12,False,background
ACC-G0115,Manan Bhalla,2025-10-05,False,41-60,+91-9242869904,"97, Garde Chowk, Bulandshahr 929842",2025-10-30,False,background
ACC-G0116,Sudiksha Biswas,2024-03-26,False,60+,+91-9366210388,"12/79, Barad, Tiruchirappalli-298068",2024-05-04,False,background
ACC-G0117,Kamala Bassi,2020-02-05,True,26-40,+91-9863765991,"H.No. 73, Mander Zila, Bardhaman-009818",2020-03-12,False,background
ACC-G0118,Keya Jha,2025-10-12,False,26-40,+91-9565126944,"46/36, Subramanian Circle, Uluberia-449562",2025-11-10,False,background
ACC-G0119,Victor Sekhon,2024-01-18,True,26-40,+91-9213865890,"01/279, Chakrabarti Marg, Firozabad-519066",2024-01-31,False,background
ACC-G0120,Dakshesh Gill,2020-12-26,False,41-60,+91-9770384309,"05/302, Majumdar Zila, Nagercoil-693801",2021-01-19,False,background
ACC-G0121,Bhavani Pall,2022-12-19,False,41-60,+91-9543937690,"81, Bora Circle, Mau 848947",2023-01-04,False,background
ACC-G0122,Veda Kohli,2025-03-02,False,41-60,+91-9577907141,"35/658, Andra Circle, Kulti-165182",2025-03-05,False,background
ACC-G0123,Dipta Pandya,2022-02-28,False,18-25,+91-9394237333,"339, Dugal Path, Jamshedpur 790807",2022-04-10,False,background
ACC-G0124,Divya Tailor,2025-08-20,False,60+,+91-9947284639,"67/80, Palan Circle, Akola-187500",2025-09-01,False,background
ACC-G0125,Ladli Chaudhuri,2025-11-09,False,26-40,+91-9559428434,"H.No. 27, Kade Marg, Serampore-647292",2025-12-09,False,background
ACC-G0126,Harish Madan,2024-10-20,False,18-25,+91-9386632270,"28, Mutti Circle, Dewas-890612",2024-12-03,False,background
ACC-G0127,Tanveer Kumar,2023-03-19,False,18-25,+91-9717545588,"H.No. 615, Issac, Anantapuram 587716",2023-04-26,False,background
ACC-G0128,Ubika Dhillon,2024-10-19,False,18-25,+91-9256996112,"H.No. 54, Rana Road, Raiganj 987622",2024-11-07,False,background
ACC-G0129,Jeremiah Keer,2024-11-15,False,60+,+91-9413261117,"81, Lala Zila, Guwahati 433472",2024-12-21,False,background
ACC-G0130,Onkar Balakrishnan,2021-11-16,False,41-60,+91-9055778487,"97/96, Walla Circle, Sri Ganganagar-831745",2021-11-20,False,background
ACC-G0131,Abha Dugal,2023-05-13,False,41-60,+91-9400825478,"40, Master Marg, Chennai 368663",2023-06-25,False,background
ACC-G0132,Madhavi Radhakrishnan,2024-09-23,False,41-60,+91-9341638944,"122, Choudhry Road, Tadipatri 497350",2024-09-25,False,background
ACC-G0133,Chandran Warrior,2022-03-11,False,41-60,+91-9021442703,"H.No. 735, Muni Marg, Serampore 051204",2022-03-15,False,background
ACC-G0134,Ekbal Singhal,2020-05-30,False,18-25,+91-9234601367,"718, Solanki Ganj, Bijapur-208814",2020-06-25,False,background
ACC-G0135,Chanchal Issac,2020-08-03,False,60+,+91-9503136502,"30, Soman Nagar, Serampore 327195",2020-09-12,False,background
ACC-G0136,Darpan Parekh,2020-12-05,False,26-40,+91-9281273585,"H.No. 652, Baral Road, Bahraich-873928",2021-01-07,False,background
ACC-G0137,Ekiya Sidhu,2023-01-21,False,60+,+91-9498218274,"08, Goyal Marg, Udupi 935186",2023-02-20,False,background
ACC-G0138,Widisha Dube,2020-11-14,False,41-60,+91-9945651181,"031, Handa Chowk, Patna 789940",2020-12-01,False,background
ACC-G0139,Timothy Bobal,2022-06-21,False,41-60,+91-9037170586,"48/01, Brahmbhatt Road, Kadapa 138633",2022-06-26,False,background
ACC-G0140,Praneel Sagar,2022-12-16,False,26-40,+91-9195761228,"28/975, Nair Path, Haridwar-593983",2023-01-14,False,background
ACC-G0141,Aachal Parsa,2021-11-01,False,26-40,+91-9776004908,"H.No. 433, Bains Path, Begusarai-107522",2021-11-21,False,background
ACC-G0142,Jeevika Krish,2024-01-18,False,26-40,+91-9344196931,"791, Mital, Gangtok 105566",2024-02-03,False,background
ACC-G0143,Utkarsh Apte,2022-04-08,False,41-60,+91-9604805892,"067, Thaman, Korba 462251",2022-04-25,False,background
ACC-G0144,Chandran Rastogi,2019-11-08,True,60+,+91-9416862278,"93, Viswanathan Circle, Latur-465911",2019-11-13,False,background
ACC-G0145,Pallavi Pau,2023-05-19,False,26-40,+91-9535590425,"03, Prakash Ganj, Guwahati-039240",2023-06-03,False,background
ACC-G0146,Indrajit Mody,2020-09-29,False,26-40,+91-9770538338,"20/69, Bassi Circle, Tirunelveli 439407",2020-09-30,False,background
ACC-G0147,Ekalinga Rama,2025-01-15,False,26-40,+91-9451046368,"98, Grewal Zila, Orai 800384",2025-01-30,False,background
ACC-G0148,Vrishti Ramaswamy,2022-08-26,False,26-40,+91-9205554384,"08, Kar Road, Mau 216893",2022-09-30,False,background
ACC-G0149,Wridesh Dua,2020-02-18,False,60+,+91-9649578232,"H.No. 82, Dhillon Marg, Ratlam-881252",2020-03-24,False,background
ACC-G0150,Eiravati Sachdev,2022-05-18,False,26-40,+91-9647423122,"99/39, Kashyap Ganj, Secunderabad 728975",2022-06-06,False,background
ACC-G0151,Lila Swamy,2023-04-08,False,41-60,+91-9722330604,"33/127, Suri, Berhampore-660965",2023-04-28,False,background
ACC-G0152,Balvan Verma,2024-09-29,False,60+,+91-9177038860,"476, Mangal Road, Rourkela-490827",2024-11-12,False,background
ACC-G0153,Gautam Tella,2024-01-04,False,41-60,+91-9129826657,"93, Chana Chowk, North Dumdum 111751",2024-01-21,False,background
ACC-G0154,Yasti Dutta,2020-03-15,False,60+,+91-9686025922,"06/447, Golla Road, Mira-Bhayandar-094077",2020-03-27,False,background
ACC-G0155,Abdul Tak,2022-10-06,False,18-25,+91-9339776719,"49/83, Goyal Nagar, Pimpri-Chinchwad 020994",2022-10-06,False,background
ACC-G0156,Gagan Bawa,2020-02-05,False,18-25,+91-9162249998,"95/014, Pillay Path, Jabalpur-814721",2020-02-08,False,background
ACC-G0157,Forum Vyas,2019-11-18,False,60+,+91-9683390198,"94/695, Vora Road, Bikaner 877293",2019-12-28,False,background
ACC-G0158,Rishi Agarwal,2020-07-31,False,18-25,+91-9107139660,"30/34, Bir Road, Dewas 015569",2020-08-18,False,background
ACC-G0159,Parth Hari,2020-10-27,False,26-40,+91-9557702727,"08, Mutti Road, Dhule 512405",2020-10-30,False,background
ACC-G0160,Noah Ramachandran,2023-04-03,False,26-40,+91-9291450461,"H.No. 74, Vohra Ganj, Akola-503178",2023-04-07,False,background
ACC-G0161,Vasudha Tella,2021-08-04,False,41-60,+91-9235784521,"07/681, Mukhopadhyay Nagar, Hindupur-570184",2021-09-16,False,background
ACC-G0162,Devika Kadakia,2025-06-26,False,41-60,+91-9533448571,"410, Varkey, Tiruppur 854249",2025-07-15,False,background
ACC-G0163,Onveer Bobal,2025-02-17,False,18-25,+91-9495870207,"01, Ramanathan Marg, Kavali 954538",2025-03-15,False,background
ACC-G0164,Udyati Deep,2023-07-22,False,26-40,+91-9171747733,"H.No. 62, Nair Path, Morbi-171577",2023-08-19,False,background
ACC-G0165,Barkha Pall,2022-10-02,False,60+,+91-9992816158,"76/96, Kohli Ganj, Ongole 153966",2022-10-21,False,background
ACC-G0166,Warinder Ghose,2025-05-30,False,41-60,+91-9197199758,"461, Chopra, Khammam 013290",2025-06-12,False,background
ACC-G0167,Manthan Sethi,2023-09-20,False,18-25,+91-9846997335,"51, Anand, Warangal 058008",2023-10-05,False,background
ACC-G0168,Imaran Manda,2024-02-20,False,18-25,+91-9036965666,"27/238, Parsa Marg, Jamnagar-220102",2024-03-17,False,background
ACC-G0169,Rajeshri Deshpande,2021-01-12,False,26-40,+91-9126796927,"53, Samra Street, Gangtok-384689",2021-01-14,False,background
ACC-G0170,Bahadurjit Barad,2023-06-28,False,26-40,+91-9975197128,"18/91, Sodhi Ganj, Panvel 905807",2023-07-27,False,background
ACC-G0171,Yauvani Singh,2025-04-15,False,60+,+91-9956544209,"H.No. 792, Behl, Indore 712814",2025-05-25,False,background
ACC-G0172,Kevin Mand,2023-11-13,False,26-40,+91-9440192927,"H.No. 37, Wable Street, Tiruvottiyur 292766",2023-12-24,False,background
ACC-G0173,Ria Ganesh,2024-05-31,False,41-60,+91-9395041027,"H.No. 78, Raghavan Ganj, Bhalswa Jahangir Pur-286047",2024-06-04,False,background
ACC-G0174,Diya Wagle,2025-06-01,False,26-40,+91-9018569454,"H.No. 96, Khurana Chowk, Saharsa 258001",2025-07-07,False,background
ACC-G0175,Nisha Chaudhari,2022-11-06,False,26-40,+91-9817534430,"H.No. 939, Dar Zila, Mahbubnagar 692124",2022-11-25,False,background
ACC-G0176,Unni Borra,2021-07-28,False,26-40,+91-9746542140,"H.No. 04, Gokhale Road, Coimbatore-396271",2021-08-28,False,background
ACC-G0177,Raagini Kamdar,2021-03-05,False,18-25,+91-9917410119,"H.No. 720, Ramakrishnan Nagar, Saharanpur 690877",2021-04-01,False,background
ACC-G0178,Netra Boase,2022-06-21,False,18-25,+91-9830671985,"01, Warrior Path, Jodhpur 432806",2022-07-05,False,background
ACC-G0179,Chandani Ramakrishnan,2025-11-08,False,41-60,+91-9157173203,"61, Morar Circle, Deoghar 005050",2025-11-25,False,background
ACC-G0180,Jagat Kakar,2025-08-20,False,18-25,+91-9878293102,"90, De Ganj, Malegaon-417929",2025-09-22,False,background
ACC-G0181,Hitesh Comar,2021-02-15,False,18-25,+91-9799313656,"98/253, Ghose Nagar, Rajkot 426258",2021-03-24,False,background
ACC-G0182,Reva Kohli,2021-03-13,False,26-40,+91-9902196207,"H.No. 219, Saha Road, Cuttack 248763",2021-03-18,False,background
ACC-G0183,Baljiwan Gole,2020-10-24,False,26-40,+91-9791456083,"19/58, Kanda Circle, Dhule-031277",2020-12-05,False,background
ACC-G0184,Nathaniel Bassi,2024-11-29,False,26-40,+91-9054364597,"08/220, Varma Chowk, Madurai 799563",2025-01-12,False,background
ACC-G0185,Victor Choudhary,2020-07-12,False,60+,+91-9531363631,"H.No. 623, Sha, Munger-273543",2020-08-16,False,background
